_id,status,deviceType,gpuModel,alternative,name,error,initTime,cpu.max,cpu.min,cpu.avg,fps.max,fps.min,fps.avg,heap.max,heap.min,heap.avg,vertexTotal,trianglesTotal
6262fd6ec46c67540b56e086,success,desktop,adreno 618,webgl,Multiple Objects Rendering,null,90,27,5,24,60,16,30,18.40591431,18.40591431,18.40591431,65232,21744
6262fd8ac46c67540b56e087,success,desktop,adreno 618,webgl,Large Object Rendering,null,2045,1,0,1,60,60,60,18.40591431,18.40591431,18.40591431,240048,80016
62632c6d01d1d6264d1db367,error,desktop,intel mesa intel hd graphics 530,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62632c7301d1d6264d1db368,error,desktop,intel mesa intel hd graphics 530,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62632cbac46c67540b56e088,success,desktop,intel mesa intel hd graphics 530,wasm-opengl,Multiple Objects Rendering,null,637,26,1,17,60,37,51,15.0050993,7.37987804,11.74535472,111024,37008
62632cd7c46c67540b56e089,success,desktop,intel mesa intel hd graphics 530,wasm-opengl,Large Object Rendering,null,1843,1,0,1,60,1,57,78.97554493,57.33473301,58.82266884,240048,80016
62632d1e01d1d6264d1db369,success,desktop,intel mesa intel hd graphics 530,webgl,Multiple Objects Rendering,null,143,25,3,19,60,30,49,66.84934902,5.22826099,15.22987928,105048,35016
62632d3901d1d6264d1db36a,success,desktop,intel mesa intel hd graphics 530,webgl,Large Object Rendering,null,1591,1,0,1,60,55,60,44.49890709,42.91520405,43.72354713,240048,80016
6266acb601d1d6264d1db36b,error,desktop,mali-t830,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266acbc01d1d6264d1db36c,error,desktop,mali-t830,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266ad20c46c67540b56e08a,success,desktop,mali-t830,wasm-opengl,Multiple Objects Rendering,null,769,25,7,18,60,12,25,18.40591431,18.40591431,18.40591431,53172,17724
6266ad4e01d1d6264d1db36d,error,desktop,intel hd graphics 4600,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266ad5201d1d6264d1db36e,error,desktop,intel hd graphics 4600,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266ad60c46c67540b56e08b,success,desktop,mali-t830,wasm-opengl,Large Object Rendering,null,6544,2,0,1,60,0,57,18.40591431,18.40591431,18.40591431,240048,80016
6266ada501d1d6264d1db36f,success,desktop,intel hd graphics 4600,wasm-opengl,Multiple Objects Rendering,null,397,27,1,19,60,28,43,20.46249962,7.48645496,13.77438401,91440,30480
6266adb901d1d6264d1db370,success,desktop,mali-t830,webgl,Multiple Objects Rendering,null,118,28,10,24,60,9,20,18.40591431,18.40591431,18.40591431,42264,14088
6266add901d1d6264d1db371,success,desktop,mali-t830,webgl,Large Object Rendering,null,8630,1,1,1,60,57,60,18.40591431,18.40591431,18.40591431,240048,80016
6266adea01d1d6264d1db372,success,desktop,intel hd graphics 4600,wasm-opengl,Large Object Rendering,null,1389,2,0,1,60,1,57,80.33439255,58.98730564,60.39445586,240048,80016
6266ae2cc46c67540b56e08c,success,desktop,intel hd graphics 4600,webgl,Multiple Objects Rendering,null,40,25,2,20,60,25,48,24.05666828,5.654706,12.45826713,101412,33804
6266ae46c46c67540b56e08d,success,desktop,intel hd graphics 4600,webgl,Large Object Rendering,null,1388,1,0,0,60,60,60,106.39690399,104.9496603,105.69013691,240048,80016
6266ae5c01d1d6264d1db373,error,desktop,intel hd graphics family,webgpu,Multiple Objects Rendering,WebGPU not supported,null,,,,,,,,,,null,null
6266ae5f01d1d6264d1db374,error,desktop,intel hd graphics family,webgpu,Large Object Rendering,WebGPU not supported,null,,,,,,,,,,null,null
6266aea0c46c67540b56e08e,success,desktop,intel hd graphics family,wasm-opengl,Multiple Objects Rendering,null,508,10,1,7,60,19,41,0,0,0,87012,29004
6266aebac46c67540b56e08f,success,desktop,intel hd graphics family,wasm-opengl,Large Object Rendering,null,2644,0,0,0,60,59,60,0,0,0,240048,80016
6266aefb01d1d6264d1db375,success,desktop,intel hd graphics family,webgl,Multiple Objects Rendering,null,68,11,2,8,60,17,42,0,0,0,88992,29664
6266af1401d1d6264d1db376,success,desktop,intel hd graphics family,webgl,Large Object Rendering,null,1059,0,0,0,60,58,60,0,0,0,240048,80016
